synthetic_traffic_datas-2
"North_Flow,South_Flow,East_Flow,West_Flow,Pedestrian_Flow,Weather,Queue_Length_North,Queue_Length_South,Queue_Length_East,Queue_Length_West,Emergency_Priority_North,Emergency_Priority_South,Emergency_Priority_East,Emergency_Priority_West"
"110,98,41,142,10,1,18,14,7,11,1,1,0,1"
"133,94,131,137,34,2,1,5,18,6,0,1,0,1"
"95,15,115,93,22,0,2,16,6,13,0,1,0,1"
"55,83,45,66,47,0,16,2,6,14,0,1,1,1"
"90,53,102,109,33,2,2,3,18,18,0,0,1,1"
"6,128,116,133,35,0,4,5,3,14,1,0,0,0"
"﻿68,54,68,23,13,0,4,7,4,9,0,1,0,1"
"97,69,86,54,37,1,0,4,9,15,0,1,1,1"
"108,85,73,38,22,0,0,14,19,11,0,0,1,1"
"18,113,19,39,41,0,17,1,13,0,1,1,1,0"
"120,101,8,0,16,2,13,1,4,4,1,0,0,1"
"139,116,18,69,9,0,9,8,14,1,1,1,0,1"
"10,90,143,125,46,2,18,4,13,17,1,1,1,1"
"63,135,9,32,4,0,12,13,9,20,0,0,0,0"
"144,111,18,55,3,0,17,0,15,9,0,0,1,0"
"122,140,137,141,4,0,15,2,19,14,1,0,0,0"
"37,6,70,73,44,0,7,14,11,19,0,0,1,0"
"94,38,51,73,5,1,3,8,2,20,1,0,0,1"
"3,97,66,77,39,2,16,11,16,19,1,0,1,1"
"91,51,36,52,44,2,16,4,19,12,0,0,0,0"
"92,7,72,146,30,0,11,12,7,16,0,1,0,1"
"69,33,10,121,9,0,3,7,13,3,1,0,0,0"
"118,14,88,27,40,1,7,0,9,4,1,0,1,1"
"97,26,106,67,6,1,5,19,4,3,0,1,0,0"
"62,34,62,130,42,2,2,0,12,12,1,0,1,1"
"101,19,30,64,17,2,17,8,10,8,1,0,1,1"
"104,148,130,110,38,1,5,2,0,6,0,0,0,0"
"8,99,63,115,43,0,5,5,4,19,1,1,0,1"
"15,84,11,67,18,1,1,3,20,8,1,1,0,0"
"3,46,106,48,35,1,18,5,14,4,1,0,0,0"
"15,110,7,46,48,0,1,15,12,18,1,1,0,1"
"125,131,117,50,38,1,15,9,12,1,0,1,1,0"
"149,134,96,44,32,0,15,1,20,17,0,1,1,1"
"20,140,5,71,8,2,0,2,14,2,1,0,1,1"
"23,88,146,92,19,2,3,15,2,17,0,0,0,1"
"128,97,67,12,15,2,16,11,8,5,0,0,0,1"
"146,40,75,90,27,0,7,17,16,12,0,1,1,1"
"108,40,82,131,22,0,15,16,6,3,1,0,1,1"
"71,97,51,4,47,1,11,5,6,17,0,1,0,1"
"115,117,131,109,29,1,12,7,9,0,0,0,0,1"
"14,96,85,134,36,0,12,7,8,17,0,1,1,0"
"120,95,15,117,21,0,9,11,20,6,0,0,0,0"
"8,121,118,73,44,0,6,6,6,11,0,1,1,1"
"19,93,49,42,25,0,5,16,15,2,1,1,1,1"
"59,8,105,29,41,0,11,10,4,6,0,1,0,0"
"112,95,17,76,11,0,15,14,8,9,1,0,0,0"
"122,98,88,147,41,0,6,10,15,16,0,0,0,0"
"58,35,77,101,44,1,4,17,20,3,0,1,0,1"
"49,69,121,133,12,2,2,12,11,1,1,1,0,0"
"79,22,9,94,22,2,8,6,14,17,0,0,1,1"
"134,50,10,38,38,2,6,4,6,14,0,0,1,0"
"18,143,75,78,24,2,5,15,6,9,0,1,1,0"
"58,140,9,85,33,2,10,15,16,7,0,1,1,1"
"83,50,135,76,15,2,6,8,20,14,0,1,0,1"
"18,138,10,53,26,1,9,10,7,9,0,0,1,1"
"108,10,65,132,0,1,1,9,4,3,1,1,1,0"
"﻿3,107,28,50,34,1,10,10,10,19,1,0,1,1"
"0,65,99,125,35,2,8,19,3,7,0,1,1,1"
"14,25,134,146,14,0,16,1,17,18,0,1,1,0"
"58,11,120,88,50,0,9,0,19,6,1,0,0,0"
"102,132,120,3,38,0,16,14,3,9,0,0,0,1"
"137,60,134,131,1,1,2,1,11,19,0,0,0,0"
"82,63,70,100,23,2,4,8,2,15,1,1,0,1"
"105,141,8,18,18,2,0,3,12,16,1,1,1,0"
"35,51,105,46,15,1,2,17,12,20,1,1,0,0"
"101,80,75,44,33,1,3,12,6,7,1,0,1,0"
"42,44,45,131,47,1,17,3,15,13,0,1,0,0"
"83,130,137,96,40,2,9,11,18,12,1,1,0,0"
"69,128,79,94,18,2,10,7,13,15,1,0,1,0"
"38,56,0,47,7,1,20,6,15,6,0,0,1,0"
"43,10,52,38,38,2,16,15,17,0,0,1,1,1"
"77,54,52,50,18,0,5,13,6,12,1,0,0,1"
"26,57,38,89,10,0,15,5,4,15,0,0,1,1"
"17,63,50,27,22,0,15,13,14,5,1,1,1,1"
"88,134,149,28,22,0,13,19,5,4,1,0,0,0"
"16,125,8,81,29,0,4,1,18,3,1,0,1,1"
"57,48,149,145,39,0,15,10,2,19,1,1,0,1"
"129,15,15,116,42,0,16,15,17,15,0,0,1,0"
"53,90,1,26,46,1,13,10,14,6,0,1,1,1"
"120,108,141,37,8,1,6,8,8,3,1,0,1,0"
"135,65,46,124,6,2,17,2,12,2,0,1,0,0"
"119,128,117,65,7,1,6,12,1,6,1,1,0,1"
"90,2,142,87,50,1,15,18,17,3,0,1,1,0"
"129,96,89,148,48,1,17,14,10,7,0,0,0,1"
"123,138,141,95,18,0,0,12,7,2,0,0,0,1"
"46,132,27,42,12,0,1,14,19,15,0,0,0,1"
"89,32,129,146,5,0,19,0,6,10,1,1,1,0"
"112,67,90,88,8,0,13,12,4,12,1,1,0,1"
"82,2,134,54,39,1,20,0,12,13,0,1,0,1"
"52,95,36,107,27,2,6,19,3,6,0,1,0,1"
"36,47,15,118,47,2,3,1,8,13,1,1,0,1"
"146,32,20,117,0,1,3,2,20,10,1,1,0,1"
"107,17,106,23,16,2,2,19,3,2,0,1,1,0"
"72,38,20,145,27,1,19,14,1,18,0,0,0,0"
"35,140,25,57,43,1,20,3,0,17,1,1,0,0"
"57,85,16,63,34,0,19,2,20,9,1,0,0,0"
"67,95,97,104,16,0,10,19,12,12,0,1,1,1"
"42,143,28,30,14,1,13,5,20,19,0,1,1,1"
"113,132,34,14,11,0,15,8,6,16,1,1,0,1"
"93,120,26,108,34,2,2,9,19,10,0,0,0,1"
"25,75,84,135,45,1,14,20,17,17,0,0,0,1"
"89,35,114,83,40,0,19,17,5,3,1,0,1,0"
"46,69,80,124,9,1,7,4,11,8,1,1,1,0"
"121,98,117,30,32,1,16,15,12,5,0,1,0,0"
"147,64,84,89,17,2,3,8,5,6,0,1,0,1"
"147,73,90,103,10,1,9,13,15,11,0,0,0,0"
"﻿33,128,94,61,47,2,15,14,20,13,1,0,0,1"
"54,125,30,61,29,0,1,8,20,14,0,1,1,1"
"84,44,8,111,20,2,18,13,2,8,1,0,1,0"
"108,48,143,9,12,2,4,15,18,7,0,1,0,0"
"104,88,23,83,43,2,4,7,17,14,0,0,1,1"
"30,138,109,46,11,1,0,6,18,17,1,0,0,0"
"14,20,60,142,17,0,13,14,10,3,1,1,0,1"
"96,124,53,138,7,0,3,8,0,4,1,0,1,1"
"126,20,55,51,42,0,5,1,2,3,0,1,1,1"
"2,150,35,119,30,0,1,4,12,17,1,1,1,0"
"69,147,92,68,16,2,17,19,11,1,1,0,0,0"
"112,121,121,0,48,2,4,13,5,13,0,1,0,0"
"46,143,125,21,37,1,9,8,19,15,1,0,0,1"
"90,139,79,95,11,1,19,3,14,3,0,1,1,1"
"57,57,120,30,34,2,12,18,10,17,0,1,0,0"
"88,39,145,8,43,2,6,10,12,10,1,0,0,1"
"128,67,40,83,14,1,8,13,9,18,1,1,1,1"
"71,109,3,112,36,1,8,16,18,0,1,1,1,1"
"84,65,49,126,33,2,16,3,11,4,0,0,0,0"
"94,49,122,85,15,0,17,13,16,9,0,1,1,0"
"8,38,120,72,45,0,8,3,18,18,1,0,0,0"
"27,67,9,97,36,2,0,8,4,11,0,1,1,0"
"20,87,66,93,50,1,17,9,14,2,1,1,0,1"
"131,111,110,98,12,2,17,3,10,17,0,1,1,0"
"46,2,75,124,50,0,20,14,19,7,1,1,1,1"
"51,18,133,147,23,1,18,12,13,19,0,1,1,0"
"66,98,56,73,29,2,2,12,9,9,1,1,0,0"
"120,0,44,11,16,1,16,6,11,8,1,0,0,0"
"60,34,119,81,23,2,9,14,1,5,0,0,0,0"
"122,60,54,71,11,0,12,12,2,19,1,0,0,1"
"75,13,145,136,40,0,20,6,9,8,0,1,1,0"
"20,99,27,133,7,0,5,8,3,7,1,0,0,0"
"144,81,58,98,26,1,2,16,8,3,0,0,0,0"
"103,139,0,102,3,2,11,9,6,13,1,1,1,1"
"138,107,88,81,20,1,18,7,3,10,1,1,1,1"
"4,9,141,143,50,2,13,8,14,17,0,1,1,0"
"95,27,88,56,49,2,10,19,5,20,0,1,0,1"
"35,102,127,14,2,0,17,12,3,6,1,0,1,0"
"114,9,109,98,20,1,17,7,11,20,1,0,0,1"
"1,148,142,37,40,2,4,12,20,13,0,1,0,1"
"44,95,121,58,28,0,15,18,19,3,1,0,0,0"
"19,14,35,34,5,2,9,17,15,7,0,0,1,1"
"102,4,36,34,20,1,13,1,10,6,1,0,1,0"
"17,131,50,127,26,1,8,10,10,20,0,1,1,0"
"28,82,86,133,18,1,20,0,11,2,0,0,1,1"
"70,49,78,127,16,1,3,10,1,8,1,1,1,0"
"77,82,31,52,42,1,10,12,13,1,0,0,0,0"
"60,100,144,88,32,2,13,9,17,13,0,0,0,0"
"135,15,87,106,34,0,14,5,19,6,1,1,1,0"
"95,110,98,142,33,2,11,11,3,12,0,1,1,1"
"﻿105,104,130,63,36,1,19,2,4,5,0,0,1,1"
"57,97,103,20,31,0,6,8,15,5,0,1,1,0"
"98,31,136,145,44,2,4,18,12,18,1,0,1,1"
"53,39,24,4,38,1,0,1,19,5,0,1,1,1"
"73,119,138,111,9,2,3,4,1,12,0,1,1,1"
"126,121,37,65,50,0,15,6,10,7,1,1,0,0"
"14,72,124,118,48,2,4,9,1,3,0,1,1,0"
"53,43,92,35,16,2,8,4,4,7,1,0,1,1"
"83,134,121,108,32,1,19,8,0,2,0,0,1,0"
"62,61,18,70,36,0,4,6,2,10,1,0,0,1"
"70,18,52,86,3,2,17,2,3,3,0,0,0,0"
"59,78,123,109,42,2,16,17,14,17,1,0,1,1"
"150,123,98,15,8,0,9,6,19,8,0,1,0,0"
"31,149,64,16,32,0,17,9,7,6,1,1,0,1"
"34,150,149,103,31,1,1,11,6,2,1,0,1,1"
"30,137,91,48,43,2,5,2,2,18,0,0,1,0"
"96,45,67,11,39,2,19,1,7,9,0,1,0,1"
"87,36,22,29,27,0,9,6,5,1,0,0,1,1"
"111,111,138,131,29,1,0,19,6,20,1,0,1,1"
"70,70,130,42,26,0,17,2,17,20,1,0,0,0"
"39,74,14,30,33,1,4,4,0,12,0,0,0,1"
"131,130,135,6,8,0,9,3,4,0,1,1,0,1"
"50,13,135,32,33,1,9,18,20,7,0,1,1,1"
"22,82,136,118,33,2,8,16,8,14,0,1,1,0"
"98,88,81,75,8,2,18,6,13,4,1,1,1,1"
"41,85,146,136,46,0,18,3,20,16,0,1,1,0"
"36,59,43,71,26,1,5,16,14,14,0,1,0,1"
"58,40,3,92,47,0,4,6,19,15,1,0,1,0"
"71,78,100,60,1,0,5,17,4,17,0,0,1,1"
"137,75,48,56,48,2,15,9,15,7,1,0,1,0"
"40,13,136,6,43,0,19,15,19,19,0,1,1,1"
"30,91,39,49,36,0,11,0,10,5,1,1,0,1"
"135,101,79,7,19,1,13,14,9,3,1,0,1,1"
"121,22,5,78,23,1,10,13,17,7,1,0,0,0"
"106,39,110,80,48,2,20,12,20,7,1,0,1,1"
"43,46,82,57,50,0,17,6,4,5,0,0,1,0"
"62,142,58,15,16,1,7,15,19,20,0,1,1,1"
"94,12,48,64,26,1,1,9,14,2,1,1,0,1"
"20,23,87,44,18,0,0,16,15,14,1,0,1,1"
"119,65,115,91,4,1,0,20,1,7,0,0,1,0"
"137,133,43,134,3,2,11,7,8,15,0,0,1,1"
"111,37,125,6,39,1,10,18,14,12,1,0,1,0"
"1,43,142,3,35,2,7,10,1,18,1,1,1,0"
"30,42,83,29,49,1,11,4,4,11,1,0,0,0"
"135,71,18,92,5,2,9,4,12,12,0,0,1,1"
"85,77,67,3,6,1,15,18,5,9,0,0,1,1"
"1,24,102,92,38,2,11,3,0,19,0,0,0,0"
"54,29,137,89,30,2,0,7,14,0,1,1,0,0"
"16,56,103,150,41,2,12,0,17,10,1,1,1,1"
"126,42,124,110,0,0,17,7,2,18,1,0,0,0"
"﻿84,112,20,134,12,2,15,20,11,1,0,0,0,1"
"140,129,5,126,33,2,18,10,19,5,1,0,1,0"
"89,85,100,80,1,2,12,3,16,4,0,0,1,1"
"37,22,147,41,1,1,0,3,17,20,0,1,0,1"
"97,98,132,79,42,0,10,10,17,20,1,0,0,1"
"148,45,131,119,11,0,19,19,0,5,0,1,1,0"
"21,148,113,140,34,1,4,14,15,3,0,0,0,0"
"24,59,45,95,48,1,18,16,6,1,1,1,0,0"
"10,104,106,53,27,0,10,1,2,5,0,0,1,1"
"125,113,45,70,43,0,5,2,3,14,0,1,0,0"
"123,148,43,68,45,1,2,7,11,19,1,1,1,0"
"19,53,68,30,5,0,4,14,20,11,0,1,1,1"
"143,135,110,97,43,0,9,19,14,14,1,1,0,0"
"53,105,29,89,9,0,6,14,7,5,1,1,0,0"
"66,80,28,81,33,2,2,5,16,12,1,0,0,0"
"85,67,30,146,22,0,19,8,11,0,1,1,1,1"
"104,38,122,125,11,0,1,0,20,8,1,1,1,0"
"61,78,23,8,5,2,11,17,2,10,0,1,1,0"
"20,112,40,138,45,0,6,15,9,17,0,1,0,0"
"3,147,26,89,8,1,9,17,17,0,0,0,1,1"
"43,144,78,95,19,2,14,18,20,6,1,1,0,1"
"123,145,43,117,2,0,2,9,1,8,1,1,0,0"
"120,111,33,141,29,1,8,4,0,17,0,1,1,1"
"57,133,36,9,46,0,17,11,3,18,0,0,0,1"
"87,8,26,61,18,0,14,15,11,0,0,0,0,0"
"9,98,48,89,41,0,6,1,7,11,1,1,1,0"
"29,121,95,56,9,2,18,20,2,14,1,0,1,0"
"45,150,139,132,49,2,10,2,18,18,1,1,1,1"
"46,94,138,93,27,2,0,1,11,10,1,0,0,0"
"17,147,44,116,17,2,19,19,2,9,1,0,1,0"
"55,6,46,99,45,2,17,5,1,14,1,1,1,0"
"50,27,74,57,48,0,2,1,8,4,1,1,1,0"
"43,133,14,69,48,2,3,15,16,20,1,1,1,1"
"37,56,113,99,39,2,16,4,20,9,1,1,0,1"
"137,16,63,34,2,0,9,8,11,18,0,1,1,1"
"135,98,48,120,13,1,16,17,4,6,1,0,0,1"
"32,74,114,60,28,1,14,15,5,16,1,1,0,0"
"12,87,77,116,19,0,15,13,6,17,0,0,1,1"
"43,28,81,143,28,1,4,11,15,20,0,0,0,1"
"10,145,77,95,4,2,10,7,18,2,0,1,1,1"
"115,19,136,75,11,2,5,19,8,8,1,1,0,1"
"141,9,109,18,38,1,10,12,2,19,0,1,0,1"
"87,106,35,130,14,2,3,0,10,10,1,0,1,1"
"149,67,113,136,32,1,6,5,5,11,1,1,1,1"
"82,123,58,56,37,0,8,19,11,19,0,0,1,1"
"66,99,47,64,18,0,10,3,14,19,0,0,0,0"
"72,44,126,148,14,1,18,16,10,0,1,1,0,1"
"11,41,108,106,24,0,18,16,18,1,0,0,1,0"
"48,69,1,10,16,1,17,18,10,6,1,1,1,0"
"93,20,79,142,42,0,11,19,5,11,0,1,0,0"
"﻿125,97,140,93,29,0,2,0,20,8,0,0,0,0"
"91,39,55,84,3,1,11,17,9,18,0,0,1,0"
"70,96,11,3,43,2,3,13,11,6,1,1,1,0"
"135,123,28,61,11,2,3,5,12,7,0,1,1,1"
"117,54,123,82,24,1,13,18,13,2,1,0,1,0"
"36,89,123,121,37,0,13,13,3,7,1,0,1,1"
"75,128,103,74,9,2,19,6,19,8,1,0,1,1"
"1,14,88,117,5,1,18,9,1,0,0,1,0,1"
"99,116,139,37,50,2,18,20,2,8,0,1,1,0"
"135,127,81,141,3,1,14,16,12,14,1,1,0,0"
"66,82,125,58,16,1,4,1,13,12,0,0,1,1"
"53,79,109,85,29,0,12,20,9,18,1,1,0,0"
"7,2,127,52,27,1,17,6,13,16,0,1,0,0"
"124,53,122,84,43,1,9,12,18,11,0,1,1,0"
"50,47,90,64,35,0,20,16,9,16,0,1,1,0"
"142,108,86,10,44,0,19,6,6,20,1,0,1,1"
"43,48,56,45,3,0,8,11,13,16,1,1,0,1"
"9,149,110,114,34,0,6,14,5,15,0,1,1,1"
"41,36,112,134,9,0,7,16,12,8,1,0,1,1"
"81,10,114,36,8,0,14,18,6,0,1,0,1,1"
"143,120,60,28,45,0,2,6,18,3,0,1,0,1"
"33,2,63,137,9,0,19,1,3,2,0,1,1,0"
"132,79,120,31,30,1,0,13,20,6,0,1,0,1"
"24,42,122,103,20,1,6,16,8,4,0,0,1,1"
"28,83,8,102,14,2,17,2,5,2,1,0,0,0"
"73,101,83,26,9,0,11,20,3,2,0,0,0,1"
"99,115,18,146,20,2,5,5,2,0,1,0,1,1"
"75,120,50,17,2,2,17,19,18,3,0,1,1,0"
"36,27,131,57,36,0,15,15,15,20,0,0,0,1"
"124,145,57,141,41,2,1,15,6,3,1,0,0,1"
"67,25,85,52,36,0,0,3,15,2,1,0,0,1"
"7,99,117,8,41,1,17,4,18,12,0,1,1,1"
"24,23,78,0,7,0,4,12,12,0,0,1,1,1"
"101,71,142,72,30,2,3,9,4,1,0,1,1,0"
"60,92,39,75,8,2,20,1,5,18,1,0,1,0"
"84,58,13,98,31,1,11,9,11,16,1,1,1,1"
"98,43,134,95,48,2,12,4,7,17,1,0,0,1"
"98,16,19,145,17,2,2,9,16,0,1,0,0,0"
"6,85,124,53,27,2,9,18,20,0,0,1,0,0"
"124,0,119,4,1,0,17,13,5,19,0,1,0,1"
"10,77,94,134,15,2,4,0,1,14,0,0,1,1"
"75,138,112,146,36,0,3,19,7,1,0,1,0,0"
"74,102,47,55,27,0,9,12,5,6,0,0,0,1"
"0,42,91,43,3,2,19,12,14,1,0,0,1,1"
"92,48,43,28,39,2,5,12,18,13,0,0,0,1"
"128,62,106,145,24,0,14,14,11,8,0,0,0,1"
"54,90,136,143,36,0,7,2,18,6,1,0,0,0"
"99,76,90,74,42,2,15,0,15,7,1,1,0,0"
"144,10,121,46,26,1,8,8,9,11,0,0,0,0"
"73,117,140,27,5,2,15,16,13,4,0,0,0,1"
"﻿43,78,81,56,14,0,20,8,19,0,1,1,0,1"
"10,136,101,91,42,0,18,7,7,18,1,0,1,1"
"106,150,51,116,6,2,13,17,4,2,0,1,0,1"
"15,44,42,39,28,0,10,7,0,1,1,1,1,1"
"13,46,37,86,11,0,5,16,20,1,0,1,0,1"
"115,128,46,28,37,2,6,10,9,16,0,1,0,1"
"74,135,20,102,7,2,4,16,4,13,0,1,0,0"
"102,136,103,131,40,2,6,12,15,2,1,0,1,1"
"122,136,141,39,50,1,17,7,11,10,0,0,1,0"
"82,149,32,100,10,2,7,10,16,2,0,0,1,1"
"7,67,124,96,20,2,0,13,9,18,1,1,0,1"
"125,136,126,123,12,2,7,15,5,1,0,1,1,1"
"51,130,57,60,44,1,15,4,18,6,1,0,0,0"
"97,96,5,79,17,1,17,10,12,14,1,0,0,0"
"122,104,79,134,18,1,15,4,1,15,0,1,1,1"
"129,24,53,67,30,1,2,17,17,2,0,0,0,1"
"97,98,25,127,7,0,16,16,18,5,1,1,1,0"
"119,63,136,77,45,1,16,5,7,3,0,0,1,1"
"75,54,148,91,7,0,12,15,2,11,0,0,0,0"
"136,75,77,93,49,1,16,13,4,18,1,1,0,1"
"55,78,46,120,47,1,11,10,15,13,0,0,1,1"
"6,42,93,129,3,2,1,1,15,20,1,1,1,1"
"141,63,109,59,19,0,6,20,16,20,1,1,1,1"
"93,90,110,44,50,0,10,15,2,20,1,1,1,0"
"111,53,8,95,44,0,13,14,15,16,0,0,1,1"
"114,24,94,3,16,1,10,13,8,1,0,1,1,1"
"134,1,55,66,7,0,14,14,13,3,0,1,0,1"
"82,70,27,110,0,1,11,16,10,12,1,0,1,0"
"3,122,42,48,46,2,15,12,4,5,0,1,1,0"
"140,54,89,71,15,2,0,3,10,15,0,1,0,1"
"56,28,131,110,23,1,20,6,3,17,0,0,1,1"
"94,124,55,100,20,0,3,7,7,15,0,1,0,0"
"86,40,146,57,15,0,19,12,8,8,1,0,1,1"
"106,57,144,3,10,0,17,19,10,7,1,0,1,1"
"45,105,47,136,12,2,16,14,16,2,0,0,1,0"
"18,83,51,66,44,1,15,6,17,8,0,0,0,0"
"99,62,76,96,26,2,18,1,17,15,1,0,1,1"
"12,150,53,61,38,2,9,9,4,12,0,0,0,0"
"99,137,115,116,4,2,11,9,2,7,0,1,0,1"
"51,145,141,94,23,0,19,3,1,1,0,1,1,0"
"128,141,17,77,36,0,4,8,8,18,1,0,0,0"
"122,30,67,24,50,0,10,16,8,8,1,1,1,1"
"67,42,91,3,44,1,5,14,12,3,0,1,1,0"
"126,98,68,22,17,2,20,12,1,20,0,1,1,1"
"34,117,56,68,38,2,17,12,19,0,1,0,1,1"
"2,42,132,27,30,1,8,11,14,3,0,1,1,0"
"140,61,133,145,33,0,5,19,18,15,0,0,0,1"
"90,61,131,35,37,1,8,0,10,3,1,1,0,0"
"57,52,1,93,5,0,1,3,11,3,1,1,0,0"
"15,82,82,112,17,0,9,16,14,18,1,0,0,0"
"﻿31,24,101,120,17,2,1,20,15,1,1,0,0,0"
"38,74,58,26,21,1,12,2,7,3,1,1,0,1"
"140,100,118,3,4,2,15,18,5,3,1,0,1,1"
"125,124,53,21,43,1,2,20,19,18,0,1,0,1"
"68,3,94,9,2,1,7,8,6,5,1,0,0,1"
"8,0,7,134,7,0,15,18,6,1,1,0,0,1"
"69,14,33,103,15,0,6,18,13,12,1,0,0,1"
"11,106,36,47,36,2,17,5,12,4,0,1,1,1"
"82,46,1,91,6,2,19,10,14,17,0,0,0,0"
"85,59,127,71,45,2,0,0,2,4,0,0,1,0"
"74,61,149,96,3,2,12,14,0,1,0,0,1,1"
"30,6,112,14,42,1,2,15,0,20,0,1,1,1"
"132,5,7,16,49,2,20,19,6,20,1,0,1,0"
"145,20,102,119,1,0,9,15,19,5,0,0,1,0"
"20,101,72,43,46,0,18,15,19,17,0,0,0,1"
"104,68,84,96,11,2,11,12,9,12,1,1,0,0"
"140,117,75,39,45,2,1,6,14,19,1,1,1,1"
"63,33,143,66,17,0,1,2,3,7,1,0,0,1"
"131,85,67,94,30,1,17,0,11,7,1,1,1,1"
"9,61,45,100,4,2,10,3,4,17,1,0,1,1"
"84,52,47,11,38,0,11,4,3,17,0,0,1,1"
"22,69,52,127,40,2,1,13,4,15,0,0,1,1"
"107,144,132,74,49,1,7,7,16,3,1,0,1,0"
"60,20,28,119,27,1,1,4,15,9,1,1,0,1"
"12,26,120,102,29,1,8,20,11,19,0,1,0,0"
"37,121,120,49,17,2,0,2,5,14,1,1,1,1"
"114,29,148,39,22,1,7,18,12,10,1,1,1,1"
"86,121,71,117,15,2,13,10,4,0,0,0,1,0"
"72,28,20,105,17,1,13,20,11,3,1,1,0,1"
"106,60,87,75,21,0,1,8,17,17,1,0,0,1"
"121,105,30,15,33,1,20,9,8,10,0,1,1,0"
"103,68,86,25,34,2,18,14,11,11,1,0,0,0"
"37,112,6,80,22,1,12,3,2,11,0,0,0,1"
"106,45,43,3,13,2,8,16,15,4,1,0,1,0"
"17,50,68,119,46,0,17,18,10,17,1,0,0,1"
"145,101,135,32,13,1,3,7,5,11,0,0,0,1"
"109,43,103,6,26,2,0,14,16,0,1,0,0,0"
"98,135,3,143,3,1,17,6,3,13,1,0,1,0"
"1,118,55,128,27,0,9,14,4,15,1,1,1,0"
"132,66,10,4,5,2,5,9,8,2,1,0,1,1"
"67,148,84,116,45,0,6,18,4,3,0,1,0,1"
"71,134,46,110,19,1,17,3,7,6,0,1,0,1"
"56,132,109,55,35,1,7,7,3,13,0,1,0,1"
"76,129,27,89,1,1,11,13,0,7,0,0,0,0"
"133,76,48,14,10,1,8,3,10,2,1,1,1,1"
"84,82,128,57,21,1,18,6,9,7,1,0,1,0"
"78,72,133,80,29,0,18,7,10,15,1,1,1,0"
"118,125,102,22,35,0,9,16,16,3,1,1,0,0"
"31,102,17,10,16,1,12,2,3,12,0,1,1,1"
"99,142,143,87,35,2,14,11,14,3,0,1,0,0"
"﻿92,131,70,116,27,0,11,2,6,12,1,0,1,0"
"96,11,0,115,16,2,2,1,3,14,1,1,1,1"
"118,2,136,34,31,1,16,7,16,15,1,0,0,0"
"97,54,109,56,46,0,13,16,14,6,1,0,0,1"
"98,37,104,61,1,2,16,10,11,6,0,0,1,0"
"145,123,94,65,26,0,10,10,19,20,0,1,1,1"
"45,69,99,54,24,2,16,13,11,19,1,1,1,1"
"62,4,93,106,41,0,3,4,18,15,1,1,0,1"
"56,67,142,145,34,1,8,19,5,7,0,1,0,1"
"65,43,106,85,47,1,3,18,5,19,0,1,1,0"
"58,72,54,110,14,1,4,2,20,0,0,1,0,0"
"51,43,122,41,1,1,15,9,1,5,0,0,0,1"
"143,57,37,81,41,2,11,18,10,20,0,1,0,1"
"45,69,59,60,14,2,5,10,2,18,1,1,0,0"
"113,5,139,89,49,2,11,13,2,14,0,0,1,1"
"97,139,0,75,20,1,0,13,1,5,0,1,1,0"
"64,143,82,63,3,2,14,16,17,7,0,1,1,1"
"138,41,45,150,26,2,8,14,1,19,1,1,0,1"
"146,115,131,46,22,0,5,13,9,19,1,0,0,1"
"131,42,84,125,45,0,20,10,13,9,1,0,0,0"
"113,63,150,140,38,0,4,17,15,4,0,1,0,1"
"60,104,19,143,48,2,9,18,7,6,1,1,0,1"
"122,90,106,58,25,0,16,14,15,20,1,0,0,0"
"50,20,10,5,20,2,10,7,13,8,0,1,0,0"
"19,40,142,125,37,1,20,13,12,13,1,1,1,0"
"77,128,1,29,20,1,3,7,10,16,0,0,1,1"
"126,55,66,42,2,1,18,20,15,2,1,1,0,0"
"130,137,17,50,41,0,12,16,17,12,1,0,1,0"
"147,118,19,102,33,2,1,18,1,1,0,1,0,0"
"146,137,6,103,26,0,13,7,11,4,0,0,1,0"
"80,74,21,56,3,1,12,11,5,18,0,1,1,0"
"130,62,141,108,1,0,13,19,5,12,1,1,0,1"
"12,41,113,112,11,2,9,10,19,4,1,1,1,1"
"137,11,66,24,0,2,10,19,20,20,1,0,1,0"
"94,96,147,68,24,0,9,5,4,9,0,1,0,1"
"68,84,28,110,14,0,5,20,4,4,1,0,1,0"
"63,127,61,33,36,2,10,14,10,15,1,1,1,1"
"20,140,78,136,45,0,2,7,10,20,0,1,1,1"
"98,60,65,15,19,0,17,17,12,1,1,0,0,0"
"40,91,36,93,15,0,9,19,7,4,0,1,0,0"
"116,116,55,27,8,2,18,3,12,2,0,1,0,1"
"103,0,119,128,46,2,16,19,9,20,0,1,1,0"
"38,140,113,40,33,2,8,14,1,15,0,0,0,0"
"80,115,11,125,34,1,20,6,9,18,0,0,1,1"
"72,3,148,145,31,1,20,9,4,17,0,1,1,0"
"11,39,79,145,34,1,2,12,18,4,0,1,0,1"
"50,103,48,138,46,1,9,18,18,3,0,1,0,1"
"109,54,38,120,20,2,9,2,0,2,1,1,1,0"
"40,37,90,52,25,2,17,13,4,2,0,0,1,0"
"35,47,64,141,14,0,11,1,2,10,1,1,0,1"
"﻿98,38,28,69,34,0,19,15,14,10,1,1,0,0"
"73,33,69,87,25,1,14,14,4,3,0,0,0,1"
"119,56,113,68,40,2,9,16,15,4,1,0,1,0"
"0,34,89,27,30,1,18,14,10,18,0,1,0,0"
"32,61,51,10,13,1,3,19,14,13,0,1,0,0"
